zaposleni_id,ime,priimek,naziv,telefonska_stevilka,email,oddelek_id,naslov_id,hotel_id
1,Shandie,Atheis,Hišnik,896-08-4814,satheis0@livejournal.com,1,2,7
2,Emogene,Castiblanco,Hišnik,732-56-5521,ecastiblanco1@shutterfly.com,4,16,9
3,Joyan,Oldroyd,Hišnik,249-25-6380,joldroyd2@themeforest.net,2,8,9
4,Adelheid,Klimecki,Hišnik,487-36-8825,aklimecki3@canalblog.com,1,13,5
5,Nikkie,Swindell,Hišnik,652-89-8426,nswindell4@unicef.org,3,15,6
6,Forbes,Crossgrove,Hišnik,533-33-8226,fcrossgrove5@domainmarket.com,2,30,5
7,Delmore,Dowley,Hišnik,169-54-7526,ddowley6@webnode.com,3,23,15
8,Carie,Ingham,Hišnik,674-52-2291,cingham7@ask.com,5,5,12
9,Dore,Roglieri,Hišnik,474-26-8981,droglieri8@bloglines.com,4,5,9
10,Batsheva,McNamara,Hišnik,217-53-5079,bmcnamara9@ucoz.com,4,26,6
11,Fonsie,Boick,Hišnik,886-83-0362,fboicka@barnesandnoble.com,4,6,8
12,Juanita,Dozdill,Hišnik,726-57-8166,jdozdillb@cpanel.net,3,11,1
13,Phineas,Cron,Hišnik,863-09-7275,pcronc@bing.com,5,29,4
14,Poul,Cleave,Hišnik,335-98-8689,pcleaved@skyrock.com,5,3,14
15,Twila,McCart,Hišnik,627-93-0069,tmccarte@amazon.com,2,13,6
16,Elisabeth,Colvin,Hišnik,839-63-0073,ecolvinf@theguardian.com,5,8,15
17,Shandie,Note,Hišnik,332-77-4711,snoteg@mysql.com,3,11,9
18,Paton,Rubinovici,Hišnik,151-96-6835,prubinovicih@rediff.com,4,14,5
19,Corby,Vaulkhard,Hišnik,760-63-0468,cvaulkhardi@wix.com,2,10,6
20,Isaiah,Fourman,Hišnik,736-34-8075,ifourmanj@reverbnation.com,5,18,5
21,Deanna,De Bernardis,Hišnik,387-23-1488,ddebernardisk@tripadvisor.com,2,22,1
22,Maynard,Tatton,Hišnik,455-17-3456,mtattonl@cdc.gov,3,6,11
23,Cassandre,Conradsen,Hišnik,692-36-1359,cconradsenm@engadget.com,5,8,6
24,Hercules,Gilbee,Hišnik,501-40-3675,hgilbeen@naver.com,1,25,15
25,Yettie,Fennessy,Hišnik,574-64-6357,yfennessyo@unc.edu,1,5,3
26,Aldo,Clawe,Hišnik,152-40-3872,aclawep@ebay.co.uk,3,6,3
27,Tadeo,O'Fielly,Hišnik,459-33-0255,tofiellyq@wufoo.com,5,15,9
28,Krista,McKall,Hišnik,221-41-7613,kmckallr@paginegialle.it,1,9,6
29,Leelah,Moulsdall,Hišnik,604-35-9176,lmoulsdalls@liveinternet.ru,3,3,13
30,Matty,Rowet,Hišnik,699-62-1457,mrowett@goo.gl,3,28,1
31,Rubin,Gowdie,Hišnik,461-14-4405,rgowdieu@vinaora.com,1,13,9
32,Vickie,Dollen,Hišnik,704-72-6203,vdollenv@facebook.com,1,6,5
33,Nita,Tomlett,Hišnik,334-06-3625,ntomlettw@macromedia.com,2,9,14
34,Julietta,Peterkin,Hišnik,509-94-0422,jpeterkinx@cafepress.com,1,9,2
35,Kahaleel,Bottoner,Hišnik,191-16-3471,kbottonery@census.gov,1,21,16
36,Alberik,Dur,Hišnik,767-15-0453,adurz@hexun.com,1,15,6
37,Fionnula,Sancroft,Hišnik,214-38-0538,fsancroft10@homestead.com,3,25,4
38,Annabela,Coventon,Hišnik,548-99-7667,acoventon11@webs.com,3,5,12
39,Fredia,Stallen,Hišnik,193-96-4677,fstallen12@umich.edu,5,13,8
40,Trevar,Yurin,Hišnik,112-83-9822,tyurin13@google.es,5,6,10
41,Burk,Gallehawk,Hišnik,338-79-2988,bgallehawk14@sakura.ne.jp,5,25,3
42,Belia,Goodee,Hišnik,520-76-1535,bgoodee15@tinypic.com,3,18,6
43,Jeanna,Eustanch,Hišnik,585-87-0560,jeustanch16@jiathis.com,2,6,10
44,Edlin,Tillard,Hišnik,134-49-2678,etillard17@mlb.com,5,2,14
45,Elwood,Newrick,Hišnik,285-56-1947,enewrick18@kickstarter.com,1,28,6
46,Conny,Pauleau,Hišnik,355-84-8833,cpauleau19@apache.org,3,1,13
47,Jarrid,Woodeson,Hišnik,330-42-2696,jwoodeson1a@wordpress.com,1,27,10
48,Arv,MacKill,Hišnik,722-94-3954,amackill1b@hao123.com,1,29,2
49,Gray,Standering,Hišnik,299-65-9300,gstandering1c@zdnet.com,4,9,6
50,Page,Pagin,Hišnik,124-29-5452,ppagin1d@wufoo.com,4,4,10
