gostje_id,ime,priimek,telefonska_stevilka,email,kreditna_kartica,naslov_id
1,Carlotta,Stewart,242-01-6772,cstewart0@jalbum.net,5108756007801860,19
2,Wayland,Denisyuk,240-68-1735,wdenisyuk1@merriam-webster.com,5002356022529484,20
3,Pattie,Daverin,325-85-2362,pdaverin2@time.com,,2
4,Tamas,Braybrooke,372-93-8819,tbraybrooke3@utexas.edu,,4
5,Thatcher,Skyner,443-72-0264,tskyner4@hc360.com,5048378628722962,2
6,Victoria,McAvey,822-46-0934,vmcavey5@kickstarter.com,5108750788469740,10
7,Darnell,Hardy-Piggin,885-12-9882,dhardypiggin6@istockphoto.com,5010123252422636,10
8,Deeanne,Tobin,354-11-6305,dtobin7@hugedomains.com,,30
9,Prue,Hadny,137-06-1834,phadny8@boston.com,,26
10,Leda,Vale,432-30-3888,lvale9@trellian.com,5002351117630289,7
11,Ravi,Hearon,779-42-9401,rhearona@msn.com,,14
12,Horace,Sheekey,272-04-5327,hsheekeyb@360.cn,,9
13,Sollie,Killby,438-35-8399,skillbyc@jugem.jp,5002351400990184,22
14,Theressa,Champkins,692-37-3147,tchampkinsd@blogtalkradio.com,5048378068996530,3
15,Morganica,Linklet,891-20-7384,mlinklete@reference.com,,29
16,Fayette,Teaz,186-93-4565,fteazf@nature.com,5048374960763987,9
17,Tiler,Carthy,720-73-4041,tcarthyg@printfriendly.com,,19
18,Malory,Pietruszka,807-52-2132,mpietruszkah@gnu.org,5010127274681681,23
19,Auguste,Newland,781-17-9083,anewlandi@washingtonpost.com,,14
20,Garfield,Younglove,433-23-6117,gyounglovej@bing.com,,28
21,Omar,Teaz,647-42-8551,oteazk@indiatimes.com,5002354464321668,22
22,Cindie,Woodman,763-62-8442,cwoodmanl@mit.edu,5007665628684260,29
23,Cesya,Pirt,889-81-0287,cpirtm@bluehost.com,5007669313859070,19
24,Pascale,Isson,672-40-9645,pissonn@google.co.jp,,2
25,Wilbur,Tye,220-30-8885,wtyeo@thetimes.co.uk,5007660143049347,4
26,Dieter,Neiland,843-73-8596,dneilandp@craigslist.org,,14
27,Zorina,Carnachen,620-75-7225,zcarnachenq@1und1.de,5010124955153619,15
28,Clarabelle,Standell,248-23-4921,cstandellr@bizjournals.com,5108754584447058,2
29,Rubie,Stearns,887-12-0072,rstearnss@boston.com,5002354590303572,29
30,Dewie,Dudin,320-85-2530,ddudint@mayoclinic.com,5108756490532220,19
31,Rockie,Fryett,755-80-7408,rfryettu@columbia.edu,5010129505758569,24
